name,price,engineSize,year,mileage,fuelType,ratio
Mazda CX-7,50900,2200 ,2012 ,170 000 km,Diesel,23136.363636363636
Volkswagen Sharan II,46260,2000 ,2013 ,163 000 km,Diesel,23130
Mercedes-Benz ML W164,69000,2987 ,2009 ,223 000 km,Diesel,23100.100435219283
Volkswagen Golf VII,36900,1598 ,2014 ,162 343 km,Diesel,23091.36420525657
Volkswagen Golf VII,36900,1598 ,2014 ,183 400 km,Diesel,23091.36420525657
Volkswagen Golf VII,36900,1598 ,2015 ,187 000 km,Diesel,23091.36420525657
Kia Carens IV,38900,1685 ,2014 ,115 900 km,Diesel,23086.05341246291
Nissan Note II,27700,1200 ,2014 ,27 500 km,Benzyna,23083.333333333332
Peugeot 2008,36000,1560 ,2013 ,69 403 km,Diesel,23076.923076923078
Renault Megane III,36900,1600 ,2015 ,56 100 km,Benzyna,23062.5
Nissan Juke,36900,1600 ,2011 ,41 500 km,Benzyna,23062.5
BMW Seria 5 F10,69000,2993 ,2010 ,316 000 km,Diesel,23053.792181757435
Chevrolet Spark,22900,995,2012 ,88 000 km,Benzyna,23015.075376884422
Lexus RX III,79500,3456 ,2009 ,105 600 km,Hybryda,23003.472222222223
BMW X1 E84,46000,2000 ,2010 ,61 545 km,Diesel,23000
BMW Seria 5 F10,69000,3000 ,2010 ,174 000 km,Diesel,23000
Peugeot 508,45900,1997 ,2015 ,149 000 km,Diesel,22984.47671507261
Ford S-Max I,45900,1997 ,2011 ,187 000 km,Diesel,22984.47671507261
Volkswagen Passat B7,45900,2000 ,2014 ,168 257 km,Diesel,22950
Citroën C4 Picasso II,35771,1560 ,2014 ,72 775 km,Diesel,22930.128205128207
Opel Astra J,31999,1398 ,2012 ,93 128 km,Benzyna,22889.12732474964
BMW Seria 5 F10,68500,3000 ,2010 ,256 000 km,Diesel,22833.333333333332
Opel Corsa E,31900,1398 ,2016 ,164 000 km,Benzyna+LPG,22818.311874105868
Nissan Juke,36500,1600 ,2011 ,130 000 km,Benzyna,22812.5
Mercedes-Benz Klasa C W204,36500,1600 ,2009 ,152 000 km,Benzyna,22812.5
Alfa Romeo Giulietta,31900,1400 ,2010 ,202 000 km,Benzyna,22785.714285714286
Opel Meriva II,31900,1400 ,2010 ,95 000 km,Benzyna,22785.714285714286
Seat Ibiza IV,31900,1400 ,2016 ,45 000 km,Diesel,22785.714285714286
Seat Leon III,45500,1998 ,2013 ,66 000 km,Diesel,22772.772772772772
Porsche 944,56900,2500 ,1986 ,179 000 km,Benzyna,22760
Citroën C4 Picasso I,35500,1560 ,2013 ,106 658 km,Diesel,22756.410256410254
Škoda Superb II,45447,2000 ,2015 ,134 000 km,Diesel,22723.5
Mini Countryman,45400,1998 ,2011 ,189 000 km,Diesel,22722.722722722723
Land Rover Range Rover Sport I,68000,2998 ,2010 ,250 000 km,Diesel,22681.78785857238
Opel Corsa E,31699,1398 ,2016 ,107 037 km,Benzyna+LPG,22674.53505007153
Ford S-Max I,48700,2148 ,2012 ,233 450 km,Diesel,22672.253258845438
Audi A4 B8,44500,1968 ,2013 ,187 500 km,Diesel,22611.78861788618
Nissan Qashqai I,33900,1500 ,2012 ,157 543 km,Diesel,22600
Audi A3 8P,31400,1390 ,2009 ,89 000 km,Benzyna,22589.92805755396
Fiat 500,28000,1242 ,2013 ,76 226 km,Benzyna,22544.283413848632
Škoda Octavia III,36000,1600 ,2015 ,112 000 km,Diesel,22500
Nissan Juke,36000,1600 ,2011 ,99 000 km,Benzyna,22500
Volkswagen Passat B7,45000,2000 ,2014 ,189 000 km,Diesel,22500
Renault Scenic III,36000,1600 ,2013 ,68 000 km,Diesel,22500
Volkswagen Tiguan I,44990,2000 ,2011 ,191 000 km,Benzyna,22495
Citroën DS5,44900,1997 ,2014 ,194 620 km,Hybryda,22483.72558838257
BMW X1 E84,44900,1998 ,2010 ,180 600 km,Diesel,22472.472472472473
Ford Mondeo Mk4,44900,2000 ,2014 ,141 000 km,Diesel,22450
BMW Seria 5 F10,44900,2000 ,2011 ,251 136 km,Diesel,22450
Ford Mondeo Mk5,44900,2000 ,2014 ,168 500 km,Benzyna,22450
Peugeot 308 T8,35900,1600 ,2015 ,165 000 km,Diesel,22437.5
Audi A3 8P,35900,1600 ,2012 ,186 000 km,Diesel,22437.5
Volkswagen Caddy IV,35800,1598 ,2015 ,155 654 km,Diesel,22403.003754693367
Audi A6 C7,66900,3000 ,2011 ,207 000 km,Diesel,22300
Mitsubishi ASX,40000,1798 ,2011 ,100 750 km,Diesel,22246.94104560623
Toyota Prius III,39989,1798 ,2012 ,86 778 km,Hybryda,22240.823136818686
Peugeot 308 T8,35499,1600 ,2015 ,87 444 km,Diesel,22186.875
Hyundai ix35,37700,1700 ,2012 ,112 700 km,Diesel,22176.470588235294
Toyota Verso S,28800,1300 ,2012 ,135 000 km,Benzyna,22153.846153846152
Škoda RAPID,31500,1422 ,2016 ,82 565 km,Diesel,22151.898734177215
Fiat Panda III,27500,1242 ,2012 ,32 500 km,Benzyna,22141.706924315622
Nissan Micra K13,26500,1198 ,2012 ,30 864 km,Benzyna,22120.200333889818
Volkswagen Passat CC,43500,1968 ,2010 ,177 000 km,Diesel,22103.658536585368
Volkswagen Golf Plus,26500,1200 ,2011 ,117 200 km,Benzyna,22083.333333333332
Seat Ibiza IV,30900,1400 ,2016 ,58 000 km,Diesel,22071.428571428572
Seat Ibiza IV,30900,1400 ,2016 ,70 000 km,Diesel,22071.428571428572
Honda CR-V III,44000,1997 ,2007 ,91 689 km,Benzyna,22033.049574361543
Kia Ceed II,35000,1591 ,2012 ,116 318 km,Benzyna,21998.742928975487
Škoda Octavia II,30500,1390 ,2009 ,112 500 km,Benzyna,21942.44604316547
Renault Megane III,32900,1500 ,2014 ,98 900 km,Diesel,21933.333333333332
Citroën C4 Grand Picasso II,43800,1998 ,2015 ,182 600 km,Diesel,21921.921921921923
Volkswagen Caddy III,35000,1598 ,2014 ,177 000 km,Diesel,21902.377972465583
Peugeot 508,43800,2000 ,2015 ,188 000 km,Diesel,21900
Opel Corsa D,26900,1229 ,2014 ,109 000 km,Benzyna,21887.713588283154
Volkswagen Caravelle,43000,1968 ,2009 ,440 000 km,Diesel,21849.593495934958
Peugeot 508,34900,1598 ,2012 ,149 200 km,Benzyna,21839.79974968711
Fiat Ducato III,49900,2287 ,2013 ,190 000 km,Diesel,21818.976825535636
Škoda Octavia III,34900,1600 ,2014 ,90 758 km,Diesel,21812.5
Ford Grand C-MAX,34900,1600 ,2012 ,109 678 km,Diesel,21812.5
Volkswagen Passat B7,39200,1798 ,2011 ,122 000 km,Benzyna,21802.002224694104
Volkswagen Touran II,42900,1968 ,2012 ,180 612 km,Diesel,21798.780487804877
Peugeot Partner II,34000,1560 ,2016 ,41 000 km,Diesel,21794.871794871797
Mercedes-Benz Klasa C W205,47900,2198 ,2016 ,54 000 km,Diesel,21792.538671519564
Mazda 6 III,43500,1998 ,2012 ,240 000 km,Benzyna,21771.77177177177
Hyundai i20 I,23900,1100 ,2013 ,129 000 km,Diesel,21727.272727272728
Toyota Avensis III,43400,1998 ,2013 ,66 000 km,Diesel,21721.721721721722
Mercedes-Benz Klasa C W204,46500,2143 ,2011 ,160 400 km,Diesel,21698.55342977135
Volkswagen Passat B7,38900,1798 ,2011 ,191 000 km,Benzyna,21635.150166852058
Peugeot 208,25900,1200 ,2013 ,118 200 km,Benzyna,21583.333333333332
BMW Seria 5 F10,42999,1995 ,2011 ,267 000 km,Diesel,21553.38345864662
BMW X3 E83,42900,1995 ,2009 ,121 000 km,Benzyna,21503.75939849624
Peugeot 308 T8,42900,1997 ,2015 ,183 000 km,Diesel,21482.223335002505
Peugeot 508,42900,1997 ,2014 ,150 057 km,Diesel,21482.223335002505
Opel Meriva II,26700,1248 ,2011 ,134 951 km,Diesel,21394.23076923077
Ford Kuga I,42700,1997 ,2010 ,120 000 km,Diesel,21382.073109664496
Opel Astra J,34145,1598 ,2015 ,72 202 km,Benzyna,21367.334167709636
Seat Ibiza IV,29900,1400 ,2016 ,80 000 km,Diesel,21357.14285714286
Opel Astra J,29900,1400 ,2012 ,153 000 km,Benzyna,21357.14285714286
Hyundai ix20,29900,1400 ,2013 ,140 000 km,Benzyna,21357.14285714286
BMW X5 E70,63800,2993 ,2011 ,250 000 km,Diesel,21316.404944871367
Peugeot 308 T8,33200,1560 ,2015 ,161 525 km,Diesel,21282.05128205128
Opel Astra J,34000,1598 ,2013 ,142 110 km,Benzyna,21276.59574468085
Nissan Qashqai I,34000,1598 ,2009 ,126 660 km,Benzyna,21276.59574468085
Volkswagen Passat B7,33999,1598 ,2013 ,249 607 km,Diesel,21275.969962453066
Nissan Qashqai I,31900,1500 ,2012 ,170 000 km,Diesel,21266.666666666664
Audi A6 C7,63000,2967 ,2011 ,237 026 km,Diesel,21233.56926188069
Volkswagen Touareg II,89000,4200 ,2011 ,197 000 km,Diesel,21190.47619047619
Ford Mondeo Mk4,33900,1600 ,2014 ,211 000 km,Diesel,21187.5
Kia Ceed II,33900,1600 ,2013 ,165 000 km,Benzyna,21187.5
Hyundai I30 II,33499,1582 ,2016 ,165 704 km,Diesel,21175.094816687735
Toyota Auris II,28860,1364 ,2014 ,143 949 km,Diesel,21158.357771261
Volvo V40 II,35900,1700 ,2015 ,263 000 km,Diesel,21117.647058823528
Hyundai ix35,35900,1700 ,2010 ,120 000 km,Diesel,21117.647058823528
Opel Astra J,28800,1364 ,2011 ,99 800 km,Benzyna,21114.369501466274
Opel Corsa E,29500,1400 ,2015 ,22 500 km,Benzyna,21071.428571428572
Toyota Prius III,37900,1800 ,2010 ,235 000 km,Hybryda,21055.55555555556
Nissan Qashqai I,42000,1995 ,2011 ,99 817 km,Diesel,21052.63157894737
Audi A6 C6,41400,1968 ,2011 ,239 000 km,Diesel,21036.585365853658
Audi A6 C7,63000,2998 ,2012 ,165 000 km,Diesel,21014.009339559707
Ford Mondeo Mk4,41900,1997 ,2014 ,211 200 km,Diesel,20981.47220831247
BMW X1 E84,41900,2000 ,2011 ,203 000 km,Diesel,20950
Volkswagen Golf VII,33499,1600 ,2013 ,170 500 km,Diesel,20936.875
Opel Astra J,29300,1400 ,2012 ,72 000 km,Benzyna,20928.571428571428
Mercedes-Benz GL X164,97550,4663 ,2012 ,163 000 km,Benzyna,20920.00857816856
Audi A6 C6,62000,2967 ,2010 ,143 919 km,Diesel,20896.528479946075
Nissan Qashqai I,30500,1461 ,2009 ,120 959 km,Diesel,20876.112251882274
Seat Ibiza IV,28999,1390 ,2012 ,190 000 km,Benzyna,20862.589928057554
Renault Laguna III,41600,1995 ,2015 ,144 350 km,Diesel,20852.130325814534
Citroën C3 Picasso,33300,1600 ,2014 ,95 700 km,Benzyna,20812.5
Chrysler 300C,74900,3600 ,2015 ,54 500 km,Benzyna,20805.55555555556
Seat Leon III,24900,1197 ,2017 ,2 137 km,Benzyna,20802.00501253133
Honda Accord VIII,49900,2400 ,2009 ,173 000 km,Benzyna,20791.666666666668
Dacia Dokker Van,33210,1600 ,2015 ,43 000 km,Benzyna,20756.25
Opel Meriva II,25900,1248 ,2010 ,142 580 km,Diesel,20753.20512820513
Opel Zafira C,41500,2000 ,2014 ,186 692 km,Diesel,20750
Dacia Logan II,24900,1200 ,2014 ,108 500 km,Benzyna,20750
SsangYong Korando,41500,2000 ,2015 ,48 000 km,Diesel,20750
Renault Megane III,28900,1400 ,2010 ,130 000 km,Benzyna,20642.85714285714
Audi A3 8P,28900,1400 ,2010 ,141 800 km,Benzyna,20642.85714285714
Škoda Fabia III,28899,1400 ,2015 ,104 293 km,Diesel,20642.14285714286
Audi Q5 8R,61900,3000 ,2010 ,205 000 km,Diesel,20633.333333333332
Porsche Panamera,99000,4800 ,2010 ,160 000 km,Benzyna,20625
Ford Fiesta Mk7,25600,1242 ,2011 ,71 394 km,Benzyna,20611.916264090178
Ford Kuga II,30900,1500 ,2017 ,40 000 km,Diesel,20600
Volkswagen Golf VII,32900,1598 ,2015 ,177 000 km,Diesel,20588.235294117647
Nissan Juke,32900,1600 ,2012 ,129 000 km,Benzyna,20562.5
Volkswagen Touran I,32900,1600 ,2010 ,185 472 km,Benzyna,20562.5
Nissan Juke,32900,1600 ,2011 ,123 500 km,Benzyna,20562.5
Toyota Avensis III,36900,1798 ,2010 ,163 000 km,Benzyna,20522.803114571747
Mitsubishi ASX,36900,1800 ,2011 ,90 000 km,Diesel,20500
Škoda Octavia III,40900,2000 ,2014 ,210 000 km,Diesel,20450
Ford Mondeo Mk4,31900,1560 ,2014 ,131 000 km,Diesel,20448.71794871795
Subaru Impreza GH,40800,2000 ,2015 ,75 000 km,Benzyna,20400
Peugeot 3008 I,32600,1600 ,2012 ,149 000 km,Diesel,20375
Opel Corsa D,24990,1229 ,2014 ,85 000 km,Benzyna+LPG,20333.60455655004
Audi A6 C6,39999,1968 ,2010 ,198 000 km,Diesel,20324.69512195122
Audi A4 B8,39999,1968 ,2010 ,180 000 km,Diesel,20324.69512195122
Audi A6 C6,39999,1968 ,2010 ,148 000 km,Diesel,20324.69512195122
Opel Astra J,27700,1364 ,2011 ,159 500 km,Benzyna,20307.91788856305
Infiniti Q50,74999,3696 ,2015 ,41 300 km,Benzyna,20291.93722943723
Opel Insignia A,39900,1968 ,2014 ,148 000 km,Diesel,20274.39024390244
Audi A4 B8,39900,1968 ,2011 ,299 321 km,Diesel,20274.39024390244
Volvo V40 II,39900,1969 ,2018 ,21 261 km,Diesel,20264.09344845099
Toyota Yaris III,27500,1364 ,2013 ,98 800 km,Diesel,20161.290322580644
Fiat 500,25000,1242 ,2010 ,78 172 km,Benzyna+LPG,20128.824476650563
Fiat 500,24999,1242 ,2013 ,74 966 km,Benzyna,20128.0193236715
Audi A4 B8,39900,1986 ,2011 ,191 800 km,Diesel,20090.63444108761
Škoda Octavia III,39500,1968 ,2013 ,180 000 km,Diesel,20071.138211382113
Volkswagen Passat B7,39500,1968 ,2014 ,225 516 km,Diesel,20071.138211382113
Audi A3 8P,39499,1968 ,2012 ,165 000 km,Diesel,20070.630081300813
Honda Accord VIII,40000,1997 ,2008 ,121 000 km,Benzyna,20030.045067601404
Honda CR-V III,39999,1997 ,2008 ,115 000 km,Benzyna,20029.544316474712
Opel Adam,28000,1398 ,2014 ,66 242 km,Benzyna,20028.612303290414
Ford S-Max I,39990,1997 ,2011 ,130 000 km,Diesel,20025.037556334504
Renault Megane III,32000,1598 ,2013 ,82 465 km,Benzyna,20025.03128911139
BMW Seria 1 F20,39900,1993 ,2014 ,155 000 km,Diesel,20020.070245860512
Nissan Qashqai I,39900,1994 ,2012 ,203 700 km,Diesel,20010.030090270815
Ford Fiesta Mk7,29990,1499 ,2014 ,114 926 km,Diesel,20006.671114076053
BMW Seria 3 F30,39900,1995 ,2013 ,136 000 km,Diesel,20000
Ford EDGE,70000,3500 ,2015 ,73 536 km,Benzyna,20000
Mercedes-Benz GLK GLK,59999,3000 ,2008 ,167 400 km,Diesel,19999.666666666668
BMW Seria 3 E90,39999,2000 ,2010 ,161 000 km,Diesel,19999.5
Volkswagen Passat B7,39900,1996 ,2011 ,196 000 km,Diesel,19989.97995991984
Mercedes-Benz Klasa C W204,35900,1796 ,2008 ,83 916 km,Benzyna,19988.864142538976
BMW Seria 7 F01,87900,4398 ,2010 ,131 000 km,Benzyna,19986.357435197817
Hyundai I30 II,31600,1582 ,2015 ,120 000 km,Diesel,19974.71554993679
BMW X5 E70,59900,3000 ,2009 ,192 000 km,Diesel,19966.666666666664
Jaguar XF X250,59900,3000 ,2011 ,125 000 km,Benzyna,19966.666666666664
Audi A4 B8,39900,2000 ,2010 ,62 000 km,Benzyna,19950
Ford S-Max I,39900,2000 ,2012 ,242 000 km,Diesel,19950
Audi A4 B8,39900,2000 ,2011 ,229 300 km,Diesel,19950
Nissan Qashqai+2,39900,2000 ,2011 ,190 000 km,Diesel,19950
Audi A4 B8,39900,2000 ,2009 ,157 000 km,Diesel,19950
Audi A4 B8,39888,2000 ,2009 ,220 000 km,Diesel,19944
Toyota Yaris III,19900,998,2013 ,129 461 km,Benzyna,19939.879759519037
Kia Rio III,22500,1129 ,2012 ,83 000 km,Diesel,19929.140832595218
Škoda Octavia III,39830,2000 ,2014 ,118 600 km,Diesel,19915
Opel Insignia A,38888,1956 ,2014 ,168 000 km,Diesel,19881.390593047032
Opel Insignia A,39756,2000 ,2013 ,107 000 km,Diesel,19878
Peugeot Partner II,31000,1560 ,2015 ,148 160 km,Diesel,19871.79487179487
Audi A4 B8,39700,1998 ,2011 ,326 341 km,Diesel,19869.869869869868
Opel Astra J,31706,1598 ,2014 ,82 815 km,Diesel,19841.051314142678
Jaguar XJ X351,59500,3000 ,2010 ,231 000 km,Diesel,19833.333333333332
Volkswagen Tiguan I,38999,1968 ,2009 ,188 000 km,Diesel,19816.565040650406
Volkswagen Passat B7,31700,1600 ,2011 ,91 123 km,Diesel,19812.5
Volkswagen Golf VII,31700,1600 ,2013 ,181 850 km,Diesel,19812.5
BMW X3 E83,49500,2500 ,2010 ,68 000 km,Benzyna,19800
Ford Kuga I,38900,1968 ,2008 ,185 195 km,Diesel,19766.260162601626
Citroën C5 III,39500,2000 ,2012 ,124 000 km,Diesel,19750
BMW Seria 1 F20,39400,1995 ,2013 ,83 721 km,Diesel,19749.373433583958
BMW Seria 5 F10,59000,3000 ,2010 ,160 000 km,Diesel,19666.666666666668
Volkswagen Polo V,23500,1198 ,2011 ,152 110 km,Benzyna,19616.02671118531
Ford Fusion,49000,2500 ,2016 ,79 779 km,Benzyna,19600
Mazda CX-5,48900,2498 ,2015 ,58 000 km,Benzyna,19575.660528422737
Audi A3 8P,38400,1968 ,2011 ,205 000 km,Diesel,19512.19512195122
Renault Laguna III,38999,2000 ,2010 ,62 000 km,Benzyna,19499.5
Chevrolet Cruze,35000,1796 ,2012 ,79 760 km,Benzyna+LPG,19487.75055679287
BMW Seria 3 F30,38943,2000 ,2012 ,144 000 km,Diesel,19471.5
Ford Mustang,72000,3700 ,2014 ,110 000 km,Benzyna,19459.45945945946
Mazda 6 II,38900,2000 ,2010 ,97 000 km,Benzyna,19450
Seat Ibiza IV,27641,1422 ,2016 ,39 557 km,Diesel,19438.11533052039
Audi A4 B8,34900,1798 ,2009 ,136 000 km,Benzyna,19410.456062291436
Opel Astra J,31000,1598 ,2014 ,173 299 km,Diesel,19399.249061326656
Audi A4 B8,34900,1800 ,2009 ,241 100 km,Benzyna,19388.88888888889
Ford Focus Mk3,30900,1596 ,2011 ,211 000 km,Benzyna+LPG,19360.902255639096
Seat Altea XL,30900,1596 ,2012 ,90 320 km,Diesel,19360.902255639096
Hyundai i40,32900,1700 ,2011 ,315 000 km,Diesel,19352.941176470587
Dacia Duster,30900,1598 ,2012 ,154 681 km,Benzyna+LPG,19336.670838548183
Fiat 500,16900,875,2011 ,188 000 km,Benzyna,19314.285714285714
Volkswagen Golf VI,30900,1600 ,2013 ,190 000 km,Diesel,19312.5
Audi A3 8P,30900,1600 ,2011 ,195 000 km,Diesel,19312.5
Volvo XC 70,57000,2953 ,2012 ,155 000 km,Benzyna,19302.404334575007
BMW Seria 3 E90,38600,2000 ,2010 ,210 000 km,Diesel,19300
Ford Galaxy Mk2,38500,1997 ,2013 ,229 000 km,Diesel,19278.918377566348
Kia Ceed I,26900,1396 ,2011 ,97 000 km,Benzyna,19269.340974212035
Toyota Avensis III,38500,1998 ,2014 ,240 378 km,Diesel,19269.26926926927
Renault Clio IV,28900,1500 ,2016 ,21 035 km,Diesel,19266.666666666664
Mercedes-Benz Klasa S W221,57800,3000 ,2007 ,226 500 km,Diesel,19266.666666666664
Volkswagen Tiguan I,37900,1968 ,2009 ,225 215 km,Diesel,19258.130081300813
Fiat Scudo,38500,2000 ,2013 ,181 000 km,Diesel,19250
Audi A8 D4,79990,4163 ,2010 ,121 000 km,Benzyna,19214.50876771559
Opel Astra J,26900,1400 ,2011 ,169 851 km,Benzyna,19214.285714285714
Škoda Superb II,26900,1400 ,2009 ,201 718 km,Benzyna,19214.285714285714
Ford Kuga I,38400,2000 ,2011 ,149 000 km,Diesel,19200
Volkswagen Caravelle,48000,2500 ,2006 ,319 000 km,Diesel,19200
Opel Astra J,30700,1600 ,2010 ,92 357 km,Benzyna,19187.5
Škoda Yeti,34500,1800 ,2010 ,164 000 km,Benzyna,19166.666666666668
Ford Focus Mk3,29900,1560 ,2014 ,210 700 km,Diesel,19166.666666666668
Volvo C30,29900,1560 ,2012 ,175 502 km,Diesel,19166.666666666668
Opel Insignia A,37397,1956 ,2014 ,76 090 km,Diesel,19119.120654396727
Škoda RAPID,22900,1198 ,2015 ,216 000 km,Benzyna+LPG,19115.191986644408
Volvo V60,37900,1984 ,2011 ,245 000 km,Diesel,19102.82258064516
Citroën C-Elysée,22900,1199 ,2015 ,85 000 km,Benzyna,19099.24937447873
Renault Megane III,27900,1461 ,2015 ,188 000 km,Diesel,19096.509240246407
Ford Fiesta Mk7,26500,1388 ,2010 ,87 271 km,Benzyna,19092.219020172914
Dacia Sandero II,22900,1200 ,2014 ,37 000 km,Benzyna,19083.333333333332
Volkswagen Golf VII,30500,1600 ,2013 ,250 000 km,Diesel,19062.5
Škoda Superb II,37500,1968 ,2012 ,218 403 km,Diesel,19054.878048780487
Ford Focus Mk3,37900,1990 ,2018 ,40 500 km,Benzyna,19045.226130653267
Mercedes-Benz Klasa C W204,40900,2148 ,2009 ,142 500 km,Diesel,19040.96834264432
Kia Picanto II,19000,998,2013 ,137 811 km,Benzyna,19038.07615230461
Renault Laguna III,38000,1997 ,2010 ,88 500 km,Benzyna,19028.54281422133
Volvo C70,38000,1997 ,2008 ,95 000 km,Diesel,19028.54281422133
Volvo V60,37900,2000 ,2011 ,163 000 km,Diesel,18950
Fiat Bravo II,25900,1368 ,2010 ,77 000 km,Benzyna,18932.748538011696
Škoda Fabia III,26900,1422 ,2015 ,150 000 km,Diesel,18917.018284106893
Renault Megane III,28373,1500 ,2014 ,61 000 km,Diesel,18915.333333333332
Mercedes-Benz Klasa E W212,56500,2987 ,2009 ,214 564 km,Diesel,18915.29963173753
Infiniti FX II,69900,3700 ,2009 ,140 000 km,Benzyna,18891.89189189189
Volkswagen Passat CC,34000,1800 ,2010 ,175 000 km,Benzyna,18888.88888888889
Ford S-Max I,37700,1997 ,2010 ,156 248 km,Diesel,18878.31747621432
Smart Fortwo II,18800,999,2015 ,49 600 km,Benzyna,18818.818818818818
Volkswagen Touran I,29999,1595 ,2009 ,137 000 km,Benzyna,18808.150470219436
Opel Astra H,30000,1598 ,2012 ,49 054 km,Benzyna,18773.466833541926
Peugeot 3008 I,29999,1598 ,2010 ,122 319 km,Benzyna,18772.841051314143
Ford Focus Mk3,37500,1998 ,2016 ,110 424 km,Benzyna,18768.76876876877
Subaru OUTBACK IV,37500,1998 ,2011 ,196 800 km,Diesel,18768.76876876877
Volkswagen Passat B7,36900,1968 ,2011 ,299 999 km,Diesel,18750
Audi A4 B8,37500,2000 ,2008 ,187 500 km,Diesel,18750
Ford Mondeo Mk5,37500,2000 ,2014 ,81 500 km,Benzyna,18750
Audi A3 8P,29900,1595 ,2010 ,230 000 km,Benzyna,18746.081504702193
Audi A3 8P,29900,1595 ,2009 ,156 833 km,Benzyna,18746.081504702193
Peugeot 3008 I,29990,1600 ,2012 ,164 700 km,Benzyna+LPG,18743.75
Ford Focus Mk2,29200,1560 ,2011 ,101 605 km,Diesel,18717.94871794872
Dacia Duster,29900,1598 ,2012 ,172 217 km,Benzyna,18710.888610763453
Peugeot 508,29900,1598 ,2012 ,199 200 km,Benzyna,18710.888610763453
BMW 5GT,56000,2993 ,2010 ,298 000 km,Diesel,18710.324089542264
Škoda Octavia II,26000,1390 ,2009 ,105 704 km,Benzyna,18705.035971223024
Citroën Berlingo II,29900,1600 ,2015 ,208 000 km,Diesel,18687.5
Alfa Romeo Giulietta,29900,1600 ,2012 ,121 000 km,Diesel,18687.5
Kia Ceed II,29900,1600 ,2014 ,137 141 km,Diesel,18687.5
Peugeot 5008 I,29900,1600 ,2012 ,161 000 km,Diesel,18687.5
Hyundai I30 I,26000,1396 ,2010 ,65 253 km,Benzyna,18624.64183381089
Mercedes-Benz Klasa C W204,39900,2143 ,2012 ,124 000 km,Diesel,18618.758749416706
Kia Venga,25900,1396 ,2010 ,85 671 km,Benzyna,18553.008595988536
Toyota Avensis III,36900,1998 ,2013 ,199 000 km,Diesel,18468.46846846847
Toyota RAV4 III,36900,1998 ,2007 ,72 376 km,Benzyna,18468.46846846847
Audi A6 C6,49850,2700 ,2009 ,235 000 km,Diesel,18462.962962962964
Škoda Superb II,36900,2000 ,2013 ,184 200 km,Diesel,18450
Toyota Verso,36900,2000 ,2013 ,165 000 km,Diesel,18450
Ford Fiesta Mk7,22900,1242 ,2012 ,45 000 km,Benzyna,18438.003220611914
Toyota Aygo I,18400,998,2011 ,70 000 km,Benzyna,18436.87374749499
Kia Sorento II,63900,3475 ,2013 ,95 000 km,Benzyna+LPG,18388.489208633095
Renault Megane III,26828,1461 ,2015 ,75 634 km,Diesel,18362.765229295004
Volkswagen Golf V,25500,1390 ,2008 ,113 814 km,Benzyna,18345.323741007196
Renault Fluence,27499,1500 ,2014 ,135 249 km,Diesel,18332.666666666668
Audi A4 B8,36000,1968 ,2009 ,229 000 km,Diesel,18292.682926829268
Citroën C4 Aircross,32900,1800 ,2013 ,158 000 km,Diesel,18277.777777777777
Citroën Berlingo II,28499,1560 ,2014 ,184 458 km,Diesel,18268.589743589742
Seat Ibiza IV,21900,1200 ,2012 ,123 000 km,Benzyna,18250
Volkswagen Golf VI,35900,1968 ,2011 ,265 770 km,Diesel,18241.869918699187
Citroën C4 Grand Picasso I,28400,1560 ,2012 ,139 000 km,Diesel,18205.128205128203
Volkswagen Caddy IV,35800,1968 ,2015 ,155 654 km,Diesel,18191.056910569107
Audi A4 B8,35800,1968 ,2010 ,296 124 km,Diesel,18191.056910569107
Volkswagen Jetta A6,28999,1598 ,2012 ,233 262 km,Diesel,18147.058823529413
Hyundai Santa Fe II,39900,2200 ,2011 ,250 000 km,Diesel,18136.363636363636
Ford Focus Mk3,28900,1596 ,2011 ,130 000 km,Benzyna,18107.769423558897
Audi A4 B8,35900,1984 ,2010 ,195 000 km,Benzyna,18094.75806451613
Citroën C5 III,28900,1598 ,2012 ,181 000 km,Benzyna,18085.106382978724
Renault Clio IV,26399,1461 ,2015 ,125 386 km,Diesel,18069.130732375088
Honda Civic VIII,32500,1799 ,2009 ,54 461 km,Benzyna,18065.591995553084
Ford Mondeo Mk4,28900,1600 ,2011 ,140 000 km,Benzyna,18062.5
Opel Astra J,28900,1600 ,2010 ,134 587 km,Benzyna,18062.5
Audi A3 8P,28900,1600 ,2011 ,190 000 km,Diesel,18062.5
Toyota Yaris III,17990,998,2015 ,55 000 km,Benzyna,18026.05210420842
Smart Fortwo II,18000,999,2011 ,86 000 km,Benzyna,18018.018018018018
Hyundai I30 II,28500,1582 ,2013 ,228 000 km,Diesel,18015.170670037925
Renault Scenic III,26300,1461 ,2012 ,142 101 km,Diesel,18001.368925393566
Chevrolet Orlando,35900,1998 ,2014 ,48 000 km,Diesel,17967.96796796797
Volkswagen Multivan,44900,2500 ,2007 ,328 000 km,Diesel,17960
Ford Kuga I,35900,2000 ,2010 ,189 000 km,Diesel,17950
Honda CR-V III,35900,2000 ,2008 ,197 400 km,Benzyna,17950
Opel Zafira B,30500,1700 ,2014 ,87 500 km,Diesel,17941.176470588234
Nissan Micra K14,26900,1500 ,2017 ,20 000 km,Diesel,17933.333333333332
Mazda CX-7,38500,2148 ,2012 ,120 000 km,Diesel,17923.64990689013
Toyota Yaris II,23800,1329 ,2010 ,152 261 km,Benzyna,17908.201655379984
