name,price,engineSize,year,mileage,fuelType,ratio
BMW X3 G01,230100,1995 ,2018 ,2 km,Diesel,115338.34586466165
BMW Seria 5 G30,229900,1995 ,2018 ,22 651 km,Diesel,115238.09523809524
Jeep Wrangler III,246900,2143 ,2019 ,5 km,Diesel,115212.31917872142
BMW Seria 6 G32,344480,2993 ,2018 ,5 km,Diesel,115095.22218509857
Audi Q5 FY,229000,2000 ,2018 ,1 km,Diesel,114500
Mercedes-Benz GLA,227000,1991 ,2019 ,3 km,Benzyna,114013.05876443998
Volkswagen Touareg III,339900,3000 ,2018 ,4 962 km,Diesel,113300
Audi Q7 II,334687,2967 ,2018 ,5 km,Diesel,112803.16818335018
BMW Seria 5 G30,224900,2000 ,2018 ,25 900 km,Benzyna,112450
BMW X3 G01,224859,2000 ,2018 ,20 km,Diesel,112429.5
Audi Q3,168608,1500 ,2019 ,10 km,Benzyna,112405.33333333333
Audi Q7 II,336990,3000 ,2018 ,10 km,Diesel,112330
Audi Q5 FY,219900,1968 ,2018 ,5 000 km,Diesel,111737.80487804877
BMW 3GT,222700,1998 ,2019 ,2 km,Benzyna,111461.46146146147
Audi Q5 FY,222900,2000 ,2018 ,10 km,Diesel,111450
Audi Q7 II,334000,3000 ,2018 ,1 km,Diesel,111333.33333333333
Audi Q5 FY,218900,1968 ,2018 ,5 000 km,Diesel,111229.67479674798
BMW X3 G01,221500,1995 ,2018 ,2 km,Diesel,111027.56892230576
Audi Q5 FY,217873,1968 ,2018 ,5 km,Diesel,110707.82520325202
Mercedes-Benz GLS,330000,2987 ,2016 ,61 952 km,Diesel,110478.74121191831
Audi A6 C8,327500,2967 ,2018 ,5 km,Diesel,110380.85608358611
Audi Q5 FY,219900,2000 ,2017 ,5 km,Diesel,109950
Audi Q7 II,329682,3000 ,2018 ,1 km,Diesel,109894
BMW X3 G01,218850,1995 ,2018 ,4 000 km,Diesel,109699.24812030075
BMW X1 F48,218300,1998 ,2019 ,2 km,Benzyna,109259.25925925926
Audi Q7 II,326000,3000 ,2018 ,1 km,Diesel,108666.66666666667
Volvo XC 60 II,213900,1969 ,2018 ,10 000 km,Diesel,108633.82427628238
Audi A6 C8,212500,1968 ,2018 ,5 km,Diesel,107977.64227642278
Audi Q5 FY,212454,1968 ,2018 ,5 km,Diesel,107954.26829268293
BMW X2,161900,1500 ,2018 ,14 389 km,Benzyna,107933.33333333334
Audi Q7 II,322900,3000 ,2019 ,1 km,Diesel,107633.33333333334
Mercedes-Benz AMG GT,430000,4000 ,2015 ,10 000 km,Benzyna,107500
Audi Q5 FY,214519,2000 ,2018 ,1 km,Diesel,107259.5
Audi A6 C8,316900,2967 ,2018 ,5 km,Diesel,106808.2237950792
Audi Q3,211900,1984 ,2019 ,5 km,Benzyna,106804.43548387096
Audi Q5 FY,213586,2000 ,2018 ,1 km,Diesel,106793
Volvo XC 60 II,209900,1969 ,2018 ,10 000 km,Diesel,106602.33621127476
Audi Q2,106000,999,2018 ,1 000 km,Benzyna,106106.1061061061
Ford EDGE,211590,1997 ,2018 ,1 km,Diesel,105953.93089634452
Audi A3 8V,158300,1500 ,2018 ,5 km,Benzyna,105533.33333333333
BMW Seria 5 G30,209900,1995 ,2019 ,15 000 km,Diesel,105213.03258145363
BMW Seria 5 G30,209900,1998 ,2017 ,26 000 km,Benzyna,105055.05505505505
Volvo XC 90 II,210000,2000 ,2015 ,108 000 km,Diesel,105000
Volkswagen Touareg III,314900,3000 ,2018 ,5 km,Diesel,104966.66666666667
Audi Q5 FY,209900,2000 ,2019 ,100 km,Diesel,104950
Audi Q7 II,309900,2967 ,2018 ,5 000 km,Diesel,104448.9383215369
Audi Q5 FY,208799,2000 ,2018 ,1 km,Diesel,104399.5
Volkswagen Touareg III,308500,2967 ,2018 ,1 km,Diesel,103977.08122682845
Peugeot 3008 II,124550,1199 ,2018 ,1 km,Benzyna,103878.23185988324
Jeep Wrangler III,220900,2134 ,2018 ,1 km,Diesel,103514.526710403
Volkswagen Tiguan II,206900,2000 ,2019 ,1 km,Benzyna,103450
Volkswagen Passat B8,153900,1500 ,2018 ,1 km,Benzyna,102600
Audi A6 C8,307786,3000 ,2018 ,1 km,Diesel,102595.33333333333
Jaguar XF X260,205000,1999 ,2017 ,1 000 km,Diesel,102551.27563781891
Audi Q5 FY,204726,2000 ,2018 ,1 km,Diesel,102363
Audi A6 C7,203900,2000 ,2018 ,5 km,Diesel,101950
Audi A1,101500,999,2018 ,1 143 km,Benzyna,101601.60160160161
Audi A6 C8,299900,2967 ,2019 ,5 000 km,Benzyna,101078.53050219076
Jeep Compass,137900,1368 ,2018 ,1 km,Benzyna,100804.09356725146
Audi Q7 II,298900,2967 ,2018 ,5 000 km,Diesel,100741.48972025616
Volvo XC 60 II,198060,1969 ,2019 ,1 km,Benzyna,100589.13153885222
Mercedes-Benz Klasa G W463,299900,2987 ,2015 ,73 550 km,Diesel,100401.74087713425
Volvo XC 60 II,197433,1969 ,2019 ,1 km,Benzyna,100270.69578466227
Audi A4 B9,196942,1968 ,2018 ,5 km,Diesel,100072.15447154472
BMW X1 F48,199900,1998 ,2019 ,2 km,Benzyna,100050.05005005005
Jaguar XF X260,199900,1999 ,2017 ,20 000 km,Diesel,100000
Audi Q7 II,299900,3000 ,2018 ,1 km,Diesel,99966.66666666667
BMW X2,199800,2000 ,2018 ,5 km,Diesel,99900
Audi Q5 FY,199191,2000 ,2018 ,1 km,Diesel,99595.5
Volkswagen Passat B8,195900,1968 ,2019 ,5 km,Diesel,99542.68292682928
Volkswagen Arteon,195730,1968 ,2019 ,5 km,Diesel,99456.30081300813
Audi A4 B9,195500,1968 ,2018 ,5 km,Diesel,99339.43089430894
Audi A3 8V,147700,1498 ,2018 ,5 km,Benzyna,98598.13084112148
Volvo S60 II,193900,1969 ,2019 ,5 km,Benzyna,98476.3839512443
Audi A4 B9,192875,1968 ,2018 ,10 km,Diesel,98005.58943089431
Volkswagen Tiguan II,146900,1500 ,2019 ,1 km,Benzyna,97933.33333333334
Škoda Kodiaq,195500,2000 ,2019 ,5 km,Diesel,97750
Audi A3 8V,146130,1498 ,2018 ,5 km,Benzyna,97550.06675567424
Jeep Renegade,129900,1332 ,2019 ,5 km,Benzyna,97522.52252252251
Seat Tarraco,194900,2000 ,2019 ,5 km,Diesel,97450
Mercedes-Benz Klasa S W222,285000,2925 ,2018 ,28 000 km,Diesel,97435.89743589744
BMW Seria 3 G20,194300,1995 ,2019 ,5 km,Diesel,97393.48370927319
Volkswagen Golf VII,96500,999,2019 ,1 km,Diesel,96596.5965965966
Mercedes-Benz GLE,207000,2143 ,2017 ,47 271 km,Diesel,96593.56042930472
Audi A5 F5,189900,1968 ,2018 ,26 350 km,Diesel,96493.9024390244
Audi A3 8V,144500,1498 ,2018 ,5 km,Benzyna,96461.94926568758
Mercedes-Benz Klasa C W205,191000,1991 ,2017 ,43 000 km,Benzyna,95931.69261677549
Mercedes-Benz Klasa C W205,187000,1950 ,2018 ,9 km,Diesel,95897.43589743589
Audi A3 8V,143429,1498 ,2018 ,5 km,Benzyna,95746.99599465955
Volkswagen Tiguan II,191200,2000 ,2019 ,5 km,Diesel,95600
Volkswagen Tiguan II,190900,2000 ,2018 ,1 km,Benzyna,95450
Audi A4 B9,187500,1968 ,2018 ,5 km,Diesel,95274.39024390244
Audi Q2,188500,1984 ,2019 ,5 km,Benzyna,95010.0806451613
Volkswagen Tiguan II,186900,1968 ,2019 ,1 km,Diesel,94969.51219512195
Jeep Compass,129900,1368 ,2018 ,1 km,Benzyna,94956.14035087719
Volkswagen Tiguan II,188600,2000 ,2019 ,5 km,Diesel,94300
Škoda Superb III,187990,2000 ,2019 ,1 km,Benzyna,93995
Audi A3 8V,140429,1498 ,2018 ,10 km,Benzyna,93744.32576769026
BMW X6 M,279900,2993 ,2015 ,61 976 km,Diesel,93518.20915469428
Seat Tarraco,139900,1498 ,2018 ,4 000 km,Benzyna,93391.18825100134
Mercedes-Benz GLC,199900,2143 ,2018 ,1 km,Diesel,93280.44797013533
Mercedes-Benz GLC,199900,2143 ,2018 ,1 km,Diesel,93280.44797013533
BMW Seria 3 F30,139900,1500 ,2018 ,12 200 km,Benzyna,93266.66666666667
Seat Tarraco,183500,1968 ,2019 ,10 km,Diesel,93241.86991869919
Audi A4 B9,184502,1984 ,2018 ,10 km,Benzyna,92994.95967741936
Volkswagen Passat B8,185900,2000 ,2018 ,5 km,Diesel,92950
Fiat 124 Spider,129900,1398 ,2017 ,3 000 km,Benzyna,92918.45493562231
Volkswagen Tiguan II,185300,2000 ,2019 ,5 km,Benzyna,92650
Seat Ateca,138800,1500 ,2019 ,1 km,Benzyna,92533.33333333333
Seat Tarraco,184900,2000 ,2019 ,5 km,Diesel,92450
Kia Sorento III,203228,2200 ,2018 ,4 km,Diesel,92376.36363636363
Mercedes-Benz Klasa A W177,122900,1332 ,2018 ,11 284 km,Benzyna,92267.26726726728
Seat Tarraco,137800,1498 ,2019 ,10 km,Benzyna,91989.31909212282
Volkswagen Tiguan II,183900,2000 ,2019 ,5 km,Benzyna,91950
Volkswagen Tiguan II,183900,2000 ,2019 ,5 km,Benzyna,91950
Audi A4 B9,183622,2000 ,2018 ,1 km,Benzyna,91811
Bentley Continental GT,365900,3993 ,2014 ,16 000 km,Benzyna,91635.36188329577
BMW Seria 5 G30,182900,2000 ,2018 ,11 000 km,Diesel,91450
Volvo XC 60 II,179800,1969 ,2019 ,1 km,Benzyna,91315.38852209243
Audi A3 8V,136813,1500 ,2018 ,1 km,Benzyna,91208.66666666667
Audi A3 8V,136500,1498 ,2018 ,5 km,Benzyna,91121.4953271028
Škoda Superb III,182200,2000 ,2019 ,5 km,Diesel,91100
Volkswagen Tiguan II,181990,2000 ,2019 ,5 km,Benzyna,90995
Volvo V90,178999,1969 ,2018 ,14 950 km,Diesel,90908.58303707467
Audi A4 B9,181624,2000 ,2018 ,1 km,Benzyna,90812
Jeep Compass,126890,1400 ,2018 ,1 km,Benzyna,90635.71428571429
Audi A4 B9,178233,1968 ,2018 ,5 km,Diesel,90565.5487804878
Audi Q5 FY,177900,1968 ,2017 ,22 241 km,Diesel,90396.34146341463
Audi A4 B9,177800,1968 ,2018 ,5 km,Diesel,90345.52845528456
Peugeot 3008 II,144350,1598 ,2019 ,1 km,Benzyna,90331.66458072592
Volkswagen Passat B8,177500,1968 ,2019 ,1 km,Diesel,90193.08943089431
BMW Seria 7 G11/12,269900,2993 ,2016 ,53 000 km,Diesel,90177.07985299031
Volvo XC 60 II,177449,1969 ,2019 ,1 km,Benzyna,90121.3814118842
Mercedes-Benz Klasa C W205,269900,2996 ,2018 ,6 000 km,Benzyna,90086.782376502
Volkswagen Tiguan II,135100,1500 ,2019 ,5 km,Benzyna,90066.66666666666
BMW Seria 4,179890,1998 ,2018 ,25 069 km,Benzyna,90035.03503503503
Land Rover Discovery Sport,179900,1999 ,2017 ,17 478 km,Diesel,89994.99749874938
Hyundai Tucson II,143800,1600 ,2018 ,980 km,Diesel,89875
Volkswagen Tiguan II,176800,1968 ,2019 ,1 km,Benzyna,89837.39837398374
Mercedes-Benz Klasa C W205,175000,1950 ,2018 ,1 km,Diesel,89743.58974358974
Audi A4 B9,178045,1984 ,2018 ,10 km,Benzyna,89740.42338709677
Volkswagen Tiguan II,179100,2000 ,2019 ,5 km,Diesel,89550
Volkswagen Tiguan II,179100,2000 ,2019 ,5 km,Diesel,89550
BMW Seria 5 G30,177900,1995 ,2017 ,24 490 km,Diesel,89172.93233082707
Peugeot 508,177900,1997 ,2018 ,12 208 km,Diesel,89083.62543815724
Volkswagen Tiguan II,177600,2000 ,2019 ,5 km,Benzyna,88800
Seat Tarraco,176900,1999 ,2019 ,10 km,Benzyna,88494.24712356177
Audi A3 8V,132500,1498 ,2018 ,5 km,Benzyna,88451.26835781042
Nissan Qashqai II,105650,1197 ,2018 ,1 km,Benzyna,88262.3224728488
Alfa Romeo Giulia,176000,1995 ,2017 ,5 800 km,Benzyna,88220.55137844612
Audi A3 8V,131900,1498 ,2018 ,5 km,Benzyna,88050.73431241655
Audi A5 F5,175900,2000 ,2018 ,1 km,Benzyna,87950
Kia Stinger,175900,2000 ,2018 ,8 km,Benzyna,87950
Audi A4 B9,172900,1968 ,2018 ,5 km,Diesel,87855.69105691057
Audi A8 D4,259900,2967 ,2017 ,64 603 km,Diesel,87596.89922480621
BMW Seria 5 G30,174678,1995 ,2018 ,3 840 km,Diesel,87557.8947368421
Kia Stinger,175000,2000 ,2018 ,8 km,Benzyna,87500
Kia Stinger,175000,2000 ,2018 ,8 km,Benzyna,87500
